game,platform,metric_scope,copies_sold,physical_share_pct,positive_review_pct,release_date,price_usd,as_of_date,source_url,notes
Escape From Duckov,Steam,lifetime,3300000,,,,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,over 3.3M; $43M+; 65% (2M copies) sold in China; approx
Dispatch,all,lifetime,1500000,,,2025-10-22,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,nearly 1.5M across platforms; over $30M; first episodes Oct 22; release date approx
ARC Raiders,all,launch (1 week),2500000,,,2025-10-30,40,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,first week; Steam 1.7M 69.2% / PlayStation 400K+ 17.3% / Xbox 300K+ 13.5%
ARC Raiders,Steam,launch (1 week),1700000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,~1.7M; 69.2% of players; approx
ARC Raiders,PlayStation,launch (1 week),400000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,400K+; 17.3% of players; approx
ARC Raiders,Xbox,launch (1 week),300000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,300K+; 13.5% of players; approx
Helldivers 2,all,lifetime,20000000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,very near 20M; Steam 12.7M 65% / PS5 5.4M / Xbox 1.4M; approx
Helldivers 2,Steam,lifetime,12700000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,65% of audience
Helldivers 2,PS5,lifetime,5400000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,approx
Helldivers 2,Xbox,lifetime,1400000,,,,,2025-11-06,https://alineaanalytics.substack.com/p/arc-raiders-has-sold-25m-copies,approx
EA Sports FC 26,PlayStation,lifetime,8000000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,over 8M; 88% on PS5; full-game sales ~$500M on PlayStation; excludes Ultimate Team; approx
EA Sports FC 26,all,lifetime,12000000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,12M+ across all platforms; in line with predecessor; approx
EA SPORTS™ Madden NFL 26,all,lifetime,3500000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,almost 3.5M since August launch; approx
EA SPORTS™ Madden NFL 26,PlayStation,lifetime,1600000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,1.6M on PlayStation; approx
Little Nightmares III,all,lifetime,1000000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,nearing 1M across all platforms; approx
Digimon Story: Time Stranger,all,lifetime,1000000,,,,,2025-11-04,https://alineaanalytics.substack.com/p/octobers-top-playstation-games-by,nearing 1M all platforms; Steam accounts for 60%+; approx
R.E.P.O.,Steam,lifetime,18000000,,,,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,18M+ sold and $140M+ gross; approx; Swedish indie
PEAK,Steam,lifetime,13000000,,,,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,13M+ and $77M+; approx
Content Warning,Steam,lifetime,5000000,,,,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,5M and $30M; approx
Valheim,Steam,lifetime,20000000,,,2021-01-01,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,20M+ and $300M; 100K+ DAUs; 200K+ copies this month; released 2021; release date approx
Deep Rock Galactic,Steam,lifetime,11000000,,,2020-05-01,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,11M+ copies; almost $200M; launched May 2020; release date approx
Deep Rock Galactic,Steam,lifetime,2400000,,,,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,2.4M copies after 1yr early access
Satisfactory,Steam,lifetime,8000000,,,2024-09-01,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,$185M+ from 8M copies; released Sep 2024; release date approx
Teardown,Steam,lifetime,2400000,,,,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,2.4M copies; early access 2020 / 1.0 2022
Goat Simulator 3,all,lifetime,2000000,,,2024-02-01,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,nearing 2M across all platforms; approx; released Feb 2024; release date approx
As We Descend,Steam,lifetime,100000,,,2025-03-01,,2025-10-28,https://alineaanalytics.substack.com/p/sweden-is-killing-it-in-the-indie,under 100K copies; approx; early access March 2025; CCU under 50; release date approx
Assassin's Creed Shadows,PS5,lifetime,2400000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,2.4M on PS5 after 7 months; 1.6% of PS5 audience in Japan
Assassin's Creed Shadows,all,lifetime,4300000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,just over 4.3M; 56% PS5 / 26% Xbox / 18% Steam; approx
Ghost of Yotei,PS5,launch (3 weeks),2500000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,2.5M on PS5 in under 3 weeks; outsold Shadows PS5; ~half players also played Elden Ring; Japan share over 3x Shadows
Ghost of Tsushima,Steam,lifetime,2000000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,passed 2M on Steam; $90M+
Helldivers 2,all,lifetime,20000000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,close to 20M; 12.6M Steam / 5.4M PS5 / 1.4M Xbox; approx
Helldivers 2,Steam,lifetime,12600000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,part of ~20M total
Helldivers 2,PS5,lifetime,5400000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,part of ~20M total
Helldivers 2,Xbox,lifetime,1400000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,part of ~20M total
Helldivers 2,PS5,launch (1 week),700000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,a little over 700K first week; historical
Helldivers 2,Xbox,launch (1 week),1000000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,nearly 1M first week; historical; approx
Helldivers 2,Xbox,~57 days,1400000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,~1.4M around 57 days post-launch; historical
Helldivers 2,PS5,~57 days,3500000,,,,,2025-10-23,https://alineaanalytics.substack.com/p/ghost-of-yotei-outsold-assassins,surpassed 3.5M in same timeframe; historical
Little Nightmares,all,lifetime,20000000,,,,,2025-10-21,https://alineaanalytics.substack.com/p/the-steam-next-fest-games-that-gained,franchise 20M+ total sales; approx
Battlefield 6,all (Steam+Xbox+PS5),launch (3 days),6606257,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,Alinea estimate; EA announced 7M+ incl EA App; -6.0%
Battlefield 6,all,launch (3 days),7000000,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,EA announced; incl EA App
Battlefield 6,Steam,launch (1 week),4000000,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,sold 4M in under a week; approx
Clair Obscur: Expedition 33,all,estimate,4856948,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,Alinea estimate; Sandfall announced 5M; -2.9%
CloverPit,Steam,estimate,736723,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,Alinea estimate; Panik announced 750K; -1.8%
Megabonk,Steam,estimate,909746,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,Alinea estimate; vedinad announced 1M; -9.0%
Megabonk,Steam,estimate,2000000,,,,,2025-10-16,https://alineaanalytics.substack.com/p/deadlock-is-steams-most-wishlisted,nearing 2M sold on Steam; approx
Battlefield 6,all,launch (first days),6500000,,,,,2025-10-14,https://alineaanalytics.substack.com/p/battlefield-6-is-a-smash-hit-launch,6.5M+ through first few days PC+console; $350M+; approx
Battlefield 6,Steam,launch (first days),3500000,,,,,2025-10-14,https://alineaanalytics.substack.com/p/battlefield-6-is-a-smash-hit-launch,56.7% of copies; over $220M; approx
Battlefield 6,PS5,launch (first days),1500000,14,,,,2025-10-14,https://alineaanalytics.substack.com/p/battlefield-6-is-a-smash-hit-launch,23.7%; 86% digital / 14% physical on PS5; approx
Battlefield 6,Xbox,launch (first days),1200000,,,,,2025-10-14,https://alineaanalytics.substack.com/p/battlefield-6-is-a-smash-hit-launch,19.6% Xbox Series; approx
Battlefield 6,Steam,pre-orders,1800000,,,,,2025-10-14,https://alineaanalytics.substack.com/p/battlefield-6-is-a-smash-hit-launch,Steam pre-orders passed 1.8M
Ghost of Yotei,PS5,launch (1 week),1600000,23,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,1.6M+ sell-through; 2M+ incl sell-in; nearly $100M; 77% digital / 23% physical; dev cost ~$60M
Ghost of Tsushima,PlayStation,launch (3 days),2400000,,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,2.4M in 3 days on PS4
Ghost of Tsushima,Steam,lifetime,2000000,,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,2M copies; almost $90M
Elden Ring Nightreign,all,lifetime,5500000,,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,5.5M+; approx
Stellar Blade,all,lifetime,4000000,,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,passed 4M after PC port; approx
Battlefield 6,Steam,pre-launch,1800000,,,,,2025-10-09,https://alineaanalytics.substack.com/p/ghost-of-yotei-is-a-success-as-battlefield,over 1.8M on Steam before Oct 10 launch; over $100M
EA SPORTS FC™ 26,all,lifetime,10000000,,,,,2025-10-07,https://alineaanalytics.substack.com/p/septembers-top-playstation-games,over 10M all platforms; PlayStation ~60%; approx
NBA 2K26,all,lifetime,6000000,,,,,2025-10-07,https://alineaanalytics.substack.com/p/septembers-top-playstation-games,over 6M since debut; approx
Dying Light: The Beast,all,lifetime,2000000,,,,,2025-10-07,https://alineaanalytics.substack.com/p/septembers-top-playstation-games,over 2M all platforms
PEAK,all,lifetime,12000000,,,2025-06-01,,2025-10-03,https://alineaanalytics.substack.com/p/skate-leads-augusts-top-games-by,crossed 12M copies; $70M since June 2025; release date approx
Stellar Blade,all,lifetime,3000000,,,,60,2025-09-25,https://alineaanalytics.substack.com/p/aaa-game-makers-cant-afford-to-ignore,official announced milestone; China helped surpass 3M; China price Y268/~$37; US price $60
Palworld,all,lifetime,25000000,,,,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,25M+ copies sold; new farming sim Palworld Palfarm announced
Dying Light: The Beast,Steam,lifetime,1000000,,,2025-09-18,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,over 1M on Steam; 82% played Dying Light; 77% played Dying Light 2
Dying Light: The Beast,all,lifetime,1500000,,,2025-09-18,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,over 1.5M across all platforms
PEAK,Steam,lifetime,12000000,,,,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,passed 12M copies; Steam revenues over $70M
Shape of Dreams,Steam,lifetime,400000,,,,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,almost 400K copies sold; approx
Hades,Steam,lifetime,9000000,,,,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,crossed 9M sold on Steam
Hades II,Steam,lifetime (early access),2000000,,,2024-05-01,,2025-09-23,https://alineaanalytics.substack.com/p/dying-light-the-beast-hades-and-so,over 2M since EA launch May 2024; ~1.5M in first two months; 104K CCU record; release date approx
Borderlands 4,all,launch,2500000,,,2025-09-12,,2025-09-18,https://alineaanalytics.substack.com/p/borderlands-4-deep-dive-25m-players,2.5M+ players all platforms; revenues $150M+; ~60-65% to break even; budget ~$200M
Borderlands 4,Steam,launch,1300000,,64,2025-09-12,,2025-09-18,https://alineaanalytics.substack.com/p/borderlands-4-deep-dive-25m-players,over 1.3M copies on Steam; over $80M Steam revenue; 64% positive Steam
Borderlands 4,console,launch,1000000,,,2025-09-12,,2025-09-18,https://alineaanalytics.substack.com/p/borderlands-4-deep-dive-25m-players,over 1M on console; PlayStation slightly ahead of Xbox; Switch 2 version next month
Borderlands 4,Steam,lifetime,1000000,,64,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,over 1M on Steam; 64% positive Steam
Borderlands 4,all,lifetime,2000000,,,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,2M across all platforms; ~$150M revenues; franchise crest 96M
Hollow Knight: Silksong,all,lifetime,6000000,,,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,passed 6M overall
PEAK,Steam,lifetime,12000000,,,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,around 12M copies sold; approx
Hollow Knight,all,lifetime,15000000,,,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,over 15M copies to date
Shape of Dreams,all,launch (1 week),200000,,,,20,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,200K worldwide; 100K first 24h official; ~50% China; 30K+ peak CCU; 20% launch discount
Dying Light: The Beast,Steam,preorders,100000,,,2025-09-18,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,~100K preorders on Steam; 1M+ players have access via DL2 Ultimate Edition
Dying Light 2 Stay Human: Reloaded Edition,all,launch (1 month),5000000,,,,,2025-09-16,https://alineaanalytics.substack.com/p/borderlands-4-was-steams-best-selling,sold 5M in first month
Hollow Knight: Silksong,all,launch (3 days),5000000,,,2025-09-04,,2025-09-09,https://alineaanalytics.substack.com/p/silksong-passed-5m-players-in-three,5M+ players in 3 days; 1M+ via Game Pass console; PS split 30% NA/14% East Asia/14% W Europe
Hollow Knight: Silksong,Steam,launch (3 days),3000000,,,2025-09-04,,2025-09-09,https://alineaanalytics.substack.com/p/silksong-passed-5m-players-in-three,over 3M copies on Steam in 3 days; $50M revenue; 5.2M wishlists at launch; 78% own Hollow Knight on Steam
PEAK,Steam,lifetime,11000000,,,,,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,over 11M copies sold on Steam
Grounded 2,Steam,lifetime,800000,,,,,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,around 800K copies; revenues almost $20M; approx
Mage Arena,all,lifetime,2400000,,,,3,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,2.4M copies sold overall; early access; solo dev
Gears of War: Reloaded,PS5,lifetime,259000,,,,40,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,sold 259K on PlayStation
Helldivers 2,Xbox,launch (6 days),926000,,,,,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,926K on Xbox 6 days after launch; launched on Xbox same day as Gears Reloaded
Helldivers 2,PS5,launch (6 days),633000,,,,,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,PlayStation version sold 633K 6 days after launch in 2024
Mafia: The Old Country,all,lifetime,1200000,,,2025-08-08,50,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,1.2M copies; PS 643K/Steam 337K/Xbox 117K
Mafia: The Old Country,PlayStation,lifetime,643000,,,2025-08-08,50,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,to date
Mafia: The Old Country,Steam,lifetime,337000,,,2025-08-08,50,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,to date
Mafia: The Old Country,Xbox,lifetime,117000,,,2025-08-08,50,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,to date
METAL GEAR SOLID Δ: SNAKE EATER,all,lifetime,500000,,,2025-08-26,70,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,500K cross-platform (Steam+Xbox+PlayStation)
Forza Horizon 5,PS5,launch (1 week),1500000,,,,,2025-09-02,https://alineaanalytics.substack.com/p/augusts-most-downloaded-games-across,over 1.5M on PS5 less than a week after launch; ~6x Gears at same point
Hollow Knight,all,lifetime,15000000,,,,,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,over 15M copies
Hollow Knight,Steam,lifetime,9300000,,,,,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,9.3M on Steam; ~250K players Sunday; 38K+ concurrent
Dawn of War Definitive Edition,Steam,lifetime,232000,,,2025-08-18,,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,sold 232K on Steam
PEAK,Steam,lifetime,10000000,,,,,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,crossed 10M sold
Mage Arena,all,lifetime,2300000,,,,3,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,2.3M sold; early access
R.E.P.O.,Steam,lifetime,16900000,,,,,2025-08-26,https://alineaanalytics.substack.com/p/the-steam-games-that-blew-up-after,16.9M since Feb 2025 launch; revenues over $130M
PEAK,Steam,lifetime,9700000,,,,4.95,2025-08-18,https://alineaanalytics.substack.com/p/peak-sold-18-million-copies-last,total copies and revenue; expected to pass 10M soon; approx
R.E.P.O,Steam,lifetime,16800000,,,,,2025-08-18,https://alineaanalytics.substack.com/p/peak-sold-18-million-copies-last,first 2025 budget indie past 10M; 16.8M sold; approx
Mage Arena,Steam,lifetime,2000000,,,2025-07-24,3,2025-08-18,https://alineaanalytics.substack.com/p/peak-sold-18-million-copies-last,total since early access launch; approx
Battlefield 6,Steam,launch (pre-order after 2nd beta),715000,,,2025-10-10,,2025-08-18,https://alineaanalytics.substack.com/p/peak-sold-18-million-copies-last,total Steam preorders after second beta; releases Oct 10
Hollow Knight,Steam,lifetime,9000000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,over 9M sold on Steam; over $95M revenue; approx
Battlefield 6,Steam,launch (pre-order),657000,,,2025-10-10,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,657K Steam preorders; presale revenue $38M as of Aug 14
Helldivers 2,Steam,lifetime,12000000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,over 12M sold on Steam; Xbox release upcoming; approx
Helldivers 2,PS5,lifetime,5200000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,5.2M sold on PS5
Dying Light,all,lifetime,20000000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,around 20M copies sold; approx
Borderlands 3,all,lifetime,22000000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,over 22M copies total; approx
Borderlands 3,Steam,lifetime,9000000,,,,,2025-08-14,https://alineaanalytics.substack.com/p/silksong-has-48-million-steam-wishlists,9M sold on Steam
Battlefield 6,Steam,launch (pre-order),605000,,,2025-10-10,,2025-08-12,https://alineaanalytics.substack.com/p/battlefield-6-has-already-sold-over,605K Steam preorders; ~$35M; last week #2 by revenue / #3 by copies; 60%+ beta wishlisters played CoD; approx
Mage Arena,Steam,lifetime,1800000,,,2025-07-24,,2025-08-12,https://alineaanalytics.substack.com/p/battlefield-6-has-already-sold-over,total copies sold; early access
PEAK,Steam,lifetime,8000000,,,,,2025-08-12,https://alineaanalytics.substack.com/p/battlefield-6-has-already-sold-over,past 8M copies sold; approx
Titan Quest 2,Steam,lifetime,465000,,,2025-08-01,,2025-08-12,https://alineaanalytics.substack.com/p/battlefield-6-has-already-sold-over,465K sold; almost $10M revenue; China 27% of players; approx
Castle Crashers - Painter Boss Paradise DLC,Steam,lifetime,200000,,,,,2025-08-12,https://alineaanalytics.substack.com/p/battlefield-6-has-already-sold-over,crossed 200K; ~$600K revenue; under $3; approx
PEAK,Steam,lifetime,7700000,,,,,2025-08-07,https://alineaanalytics.substack.com/p/julys-most-downloaded-steam-xbox,~7.7M players bought; over $46M revenue; ~$500K/day; approx
Clair Obscur: Expedition 33,all,launch (33 days),3300000,,,,,2025-08-07,https://alineaanalytics.substack.com/p/julys-most-downloaded-steam-xbox,3.3M copies in 33 days; on Xbox Game Pass; publisher-reported milestone
Grounded 2,Steam,lifetime,600000,,,2025-07-29,,2025-08-07,https://alineaanalytics.substack.com/p/julys-most-downloaded-steam-xbox,almost 600K sold on Steam; $13.2M; approx
College Football 26,PS5,lifetime,1400000,,,2025-07-11,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,1.4M sold on PS5 to date; US 97% / Canada 1.2% / UK 0.5%; ~3x slower than CF25
Minecraft,all,lifetime,300000000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,over 300M sold across all platforms; approx
Forza Horizon 5,PS5,lifetime,3600000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,3.6M sold on PS5; $164.2M; Microsoft $114.9M / Sony $49.3M
DEATH STRANDING 2: ON THE BEACH,PS5,lifetime,1100000,35,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,total 1.1M on PS5; over $60M; 65% digital; ~3x faster than Alan Wake 2; approx
Grand Theft Auto V,all,lifetime,215000000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,215M copies sold and counting; approx
Rematch,PS5,lifetime,1000000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,nearing a million sold on PS5; approx
Rematch,Steam,lifetime,1600000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,1.6M sold on Steam
WUCHANG: Fallen Feathers,PS5,lifetime,326000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,to date on PS5
WUCHANG: Fallen Feathers,Steam,lifetime,660000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,to date on Steam
EA SPORTS™ Madden NFL 25,PlayStation,lifetime,1200000,,,,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,1.2M on PlayStation to this point; PS4 and PS5; comparison figure
Clair Obscur: Expedition 33,Steam,lifetime,2400000,,,2025-04,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,2.4M on Steam; launched April 2025; release date approx
Clair Obscur: Expedition 33,PS5,lifetime,1500000,,,2025-04,,2025-08-05,https://alineaanalytics.substack.com/p/ea-and-xbox-dominate-our-july-playstation,1.5M on PS5; release date approx
R.E.P.O,Steam,lifetime,16400000,,,2025-02,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,#1 game this year; launched Feb 2025; release date approx; ~50% players also played Lethal Company/Phasmophobia
Schedule I,Steam,lifetime,9000000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,over 9M sold; drug-dealing sim; approx
PEAK,Steam,lifetime,7000000,,,2025-06,7.99,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,crossed 7M sold; launched June 2025; release date approx
Monster Hunter Wilds,Steam,lifetime,6300000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,top-grossing new Steam game; over $380M; approx
Monster Hunter Wilds,PS5,lifetime,3100000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,3.1M on PS5; #1 non-port new PS5 game this year
Monster Hunter Wilds,Xbox,lifetime,700000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,about 700K on Xbox; approx
Split Fiction,Steam,lifetime,2600000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,over $100M Steam revenue; friend pass included; approx
Split Fiction,PS5,lifetime,2500000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,2.5M on PS5
Split Fiction,Xbox,lifetime,1000000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,1M on Xbox
Elden Ring Nightreign,Steam,lifetime,2800000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,over $150M total across platforms; 78% Steam players played original Elden Ring
Elden Ring Nightreign,PlayStation,lifetime,1500000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,1.5M on PlayStation; 84% of PS players played original
Elden Ring Nightreign,Xbox,lifetime,800000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,800K on Xbox
Elden Ring,all,lifetime,30000000,,,,,2025-07-31,https://alineaanalytics.substack.com/p/games-with-co-op-generated-over-4,over 30M copies globally; approx
PEAK,Steam,lifetime,6800000,,,,7.99,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,6.8M sold; over $40M; approx
WUCHANG: Fallen Feathers,Steam,lifetime,600000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,over 600K on Steam; approx
WUCHANG: Fallen Feathers,PlayStation,lifetime,240000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,240K on PlayStation; approx
The King Is Watching,Steam,lifetime,158000,,,2025-07-21,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,158K overall; over $1.7M; 51% audience China; approx
Killing Floor 3,Steam,lifetime,197000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,197K on Steam; $6.7M
Killing Floor 3,PS5,lifetime,100000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,fewer than 100K on PS5; approx
Mage Arena,Steam,lifetime,235000,,,2025-07-24,2.99,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,235K total (incl 116K on Jul 28); price rising to $4.99; US 46% / Poland #2 / Russia #3
Red Dead Redemption 2,all,lifetime,75000000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,over 75M copies across platforms; approx
Abiotic Factor,Steam,lifetime,1500000,,,,,2025-07-29,https://alineaanalytics.substack.com/p/indie-games-old-and-new-killed-it,1.5M sold prior to / during early access; approx
Stellar Blade,Steam,lifetime,1500000,,,,60,2025-07-24,https://alineaanalytics.substack.com/p/chinese-audiences-have-been-a-huge,1.5M on Steam; over half from China; China price Y268/~$37 vs US $60
DEATH STRANDING 2: ON THE BEACH,PS5,lifetime,1000000,,,,,2025-07-24,https://alineaanalytics.substack.com/p/chinese-audiences-have-been-a-huge,passed 1M sold on PS5
